"","Common name","Image","Origin","First developed","Comment","Use"
"732","Michaelmas Red[8]","","England","1929","W 64, H 56. P McIntosh x Worcester Pearmain. Flesh soft, juicy, sweet, vinous. Pick mid September. Use October - December.","Eating"
"733","Michal[10]","","Israel","Introduced 1967","P (Calville St. Sauveur x Damascus) x Delicious. Flesh juicy, sweet, subacid. Tree productive.","Eating"
"734","Middle Green[7]","","England","<1903","Yellow streaked with red. W 63, H 51. AM from RHS in 1903. Flesh, soft, yellowish, sweet, good. Use December - February.","Eating"
"735","Milam[4]","","US","<1820","W 69, H 62. Stalk 20 mm. Flesh white, tender, crisp, juicy, subacid or sweet. Use December - January.","Eating"
"736","Miller's Seedling[8][21]","","Berkshire, England","1848","Sweet apple. H 44-54, W 60-63. Stalk 18–26 mm. Flesh white, juicy, sweet. AM from RHS in 1906. Pick mid August. Use August - September. Tree prefers chalky soils.","Eating"
"737","Millicent Barnes[8]","","Chester, England","1903","A yellow apple flushed with red. W 69, H 63. Flesh lacks flavour. Pick mid September. Use October - December.",""
"738","Milton[5]","","Geneva, New York","Introduced 1923","P Yellow Transparent x McIntosh.","Eating"
"739","Milwaukee[28]","","Wis. US","<1899","W 80, H 65. Stalk 18 mm. Flesh whitish, firm, crisp, tender, juicy, subacid, fair to good. Use October - January.","Cooking"
"740","Minister[4]","","New England, US","<1850","Tree healthy, vigorous, early bearer. Flesh, yellowish, juicy, acid. Use September - October.","Cooking"
"741","Mio[14]","","Sweden","1932","Yellow with red flush. W 62, H 53. P Worcester pearmain x Oranie. Pick September. Use September - October.","Eating"
"742","Miss Baron[7]","","England","<1885","A golden-yellow apple. Tree vigorous. Flesh yellow, tender, subacid. Use October - January.","Cooking"
"743","Missouri Pippin[273][274]","","Missouri, US","ca 1840","Tree vigorous. Flesh yellow, firm, brisk, subacid, fair to good. Use October - January.","Eating"
"744","Miss Phillimore[255][7]","","England","Introduced 1900","Yellow with red flush. P Gladstone x Lord Burghley. Flesh tender, sweet. AM from RHS in 1899. Use October.","Eating"
"745","Mollie's Delicious[10]","","New Jersey, US","1966","Conical shape, pinkish red colour. P (Golden Delicious x Edgewood) x (Gravenstein x Close). Flesh crisp, sweet, good. Lasts long in refrigeration. Good aftertaste.","Eating"
"746","Monarch[21][7]","","Essex, England","Raised 1888, Introduced 1918","Large round-conical apple. Flesh: Coarse-textured, juicy, tender sharp. Biennial tendency. H 58-70, W 73-80. Pick mid September. Use November - January.","Cooking"
"747","Monmouth[28]","","N.J. US","<1848","W 78-85, H 65-68. Stalk 13–19 mm. Biennial. Flesh yellowish, firm, grisp, tender, juicy, aromatic, good to very good. Use December - March.","Eating"
"748","Monroe[5]","","Geneva New York","Introduced 1949","A red apple. P Jonathan x Rome Beauty.","Eating"
"749","Moore Extra[3]","","Ohio, US","<1870","Flesh yellow, juicy, tender, subacid, very good. Stalk short. Tree vigorous, not an early bearer. Use December - March.","Eating."
"750","Moore´s Sweeting see Black Sweet",NA,NA,NA,NA,NA
"751","Morden 347[5]","","Manitoba, Canada","Introduced 1941","P Martha x Dolgo. Flesh orange-yellow, firm, crisp, juicy. Tree hardy, vigorous. Pick late August.","Eating, Cooking"
"752","Morden 352[5]","","Manitoba Canada","Introduced 1945","P Dolgo x Haralson. Flesh white, firm, crisp, juicy, sweet, subacid. Tree very hardy. Pick late September.","Eating, Cooking"
"753","Mother (American Mother) [275]agm[276][21][28][277][278][279]","","Massachusetts, US","1840","Medium-sized yellow apple with crimson stripes and darker red blush.H 60-80, W 63-77. Stalk 13 – 23 mm. Flesh fine, tender, juicy, mild subacid, aromatic, very good to best. The fruit has a balsamic aroma with a suggestion of vanilla. Cropping can be a bit irregular, if not completely biennial. A late flowering variety that avoids frost. Some resistance to scab. . Pick late September. Use October - December.","Eating"
"754","Munson(syn. Meachem Sweet, Rag Apple)[28]","","Massachusetts ? US","<1849","W 68, H 55. Stalk 14 mm. Flesh yellowish, tender, juicy, sweet, good to very good. Use late September - December.","Eating"
"755","Munson Sweet(syn. Orange Sweet, Ray Apple, Meachem Sweet)[4]","","New England, US","<1850","W 74, H 59. Stalk 18 mm. Tree vigorous, productive, a regular bearer. Flesh juicy, very sweet. Use September - February.","Baking"
"756","Murray[144]","","Canada","1980","",""
"757","Muscadet de Dieppe","","Normandy, France","c. 1750","Commonly used in making Calvados brandy. Yellowish green apple with red striping or reddish pink blush. Too tart to eat.","Cider"
"758","Musch[144]","","Belgium","1872","Pick September. Use November - December.","Eating"
"759","Musk see Carlisle Codlin",NA,NA,NA,NA,NA
"760","Muster[4]","","Indianapolis, US","<1850","Flesh yellow, juicy, subacid, aromatic. Use November - January.","Cooking, Eating"
"761","Mutsu[21]","","Aomori Prefecture, Japan","1930","Known as ""Crispin"" in the United Kingdom. W 73-77, H 70-73. Stalk 22–30 mm. P Golden Delicious × Indo. Pick mid October. Use December - February.","Eating"
"762","My Jewel","","Watsonville, California","c. 1940[280]","Originated as a chance seedling, a cross between Winter Banana and Golden Delicious.[281] Yellow colour. October harvest. Still used in cider blends by Martinelli's)[282]","Eating, Cooking, Cider"
"763","Nanny[6][7]","","Surrey or Sussex, England","1842","A dessert apple of excellent quality. Flesh greenish yellow, tender. H 69, W 76. Pick September. Use October.","Eating"
"764","Nathusius Taubenapfel[34]","","Germany","1824","A conical apple. W 67, H 62. Stalk 11 mm. Use December - April","Eating"
"765","Nelson Codlin[6]","","England","<1850","Large yellow. A first rate culinary apple. Use September - January.","Cooking"
"766","Newell-Kimzey (Airlie Red Flesh)","","Airlie, Oregon","1961","A medium to medium -large, conic apple. Light yellow-green skin with white dots, occasionally with red-orange blush on one side.Light pink to deep red flesh is crisp, sweet and moderately tart.","Eating, pies"
"767","Newfane[5]","","Geneva, New York, US","Introduced 1927","P Deacon Jones x Delicious. Flesh, tender, juicy. Ripens with Delicious.","Eating"
"768","Newton Wonder[8][21]","","Derbyshire, England","<1887","A yellow apple flushed with red. FCC from RHS in 1887. W 89-92, H 70-73. Stalk 10–15 mm. Medium round and even, beautifully striped and flushed. Very good cooker. Cooks to juicy, brisk, well-flavoured purée, but with less acidity than Bramley. Prolific bearer, can be harvested in winter. Pick mid October. Use November - March.","Cooking."
"769","Newtown Delicious[5]","","Washington, US","Introduced c1937","P Yellow Newtown x Delicious. Tree vigorous, heavy bearer.","Cooking (Eating)"
"770","Newtown Pippin (Albemarle Pippin)[283][8][284][285]","","Queens County, New York","1759","Best known colonial apple in North America. Known favourite of Ben Franklin and Thomas Jefferson. Medium to large, often irregularly shaped apple. Greenish-yellow, dotted, often russeted. W 78 H 60-65. Stalk 15 mm. Tough skin, flesh cream to greenish-white, very quickly browning. Flesh yellow, firm, crisp, moderately fine-grained, aromatic, subacid, best. Biennial habit, slow to come into bearing. Good keeper, improves with storage. Prized for its clear juice in cider making. Two sports, Green Newtown Pippin and Yellow Newtown Pippin, differ only in skin colour. Pick late October. Use November - March.","Cooking, Eating, Cider"
"771","Newtown Spitzenburgh[3][286][287]","","Newtown, Long Island, US","1817","W77, H 59. Stalk 17 mm. Flesh yellow, crisp, tender, vinous, subacid. Use October - February.","Eating"
"772","Nickajack(syn. Caroline, Berry, Aberdeen, Trenham, Alleghany, Chaltram Pippin)[3][288][289]","","North Carolina, United States","c. 1810","Native American origin, believed to be originally grown by Cherokee along banks of Nickajack Creek. Only grown in Appalachians, favourite of later settlers for desserts. Rusty red colour with sweet, crisp taste. W 84, H 67. Stalk 12 mm. Use December - April.","Cooking, Eating"
"773","Nonpareil[8][21]","","France","1500s","A yellowish green apple. W 58-65, H 48-52. Stalk 18–28 mm. Pick mid October. Use December - March.","Eating"
"774","Nordhausen(syn. Schöner von Nordhausen)[18]","","Germany","1892","W 69, H 57, We 130. Stalk 6 – 13 mm. Pick October. Use January - April.","Cooking"
"775","Norfolk Beauty[21][7][290]","","Norfolk, England","introduced 1902","Pale cream in colour when cooked. W 80-87, H 67-71. Stalk 8 – 10 mm. P Harvey x Hawthornden. FCC from RHS in 1902. Pick early September. Use October - December.","Cooking"
"776","Norfolk Beefing(syn. Catshead Beaufin, Taliesin)[6][7][291]","","Norfolk, England","ca 1800","H 63 W 78. Stalk short. Flesh with a brisk and pleasant flavour. Pick October. Use January - June.","Baking"
"777","Norfolk Pippin see Adams Pearmain",NA,NA,NA,NA,NA
"778","Norfolk Royal[21]","","England","1908","A truncate conical apple. Flesh crisp, juicy and well-flavoured. H 67, W 70. Stalk 8 – 15 mm. Pick late September. Use September - February.","Eating"
"779","Norman´s Pippin[50]","","Belgium","<1900","Conical grey green with russet, flesh mellow, of fine flavour. AGM from RHS in 1900. H 51, W 63. Use Jan. - March.","Eating"
"780","Northern Greening[50][7]","","Yorkshire, England","1826","Medium, oval, conical, pea green to pale yellow, with red stripes and faint brown flush. Flesh tender, greenish, acid. Growth vigorous. Pick mid October. Use December - April.","Cooking"
"781","Northern Spy[292][8][293][294]","","New York","c. 1800","Tart, firm, stores very well. Tree large, vigorous. Flesh yellow firm, tender, crisp, juicy, aromatic, subacid, very good to best. Noted for being excellent choice for making American-style apple pie. W 81, H 72. Stalk 20 mm. Sometimes used as a rootstock. Pick mid October. Use November - March.","Cider, Cooking, Eating"
"782","North Western Greening[28][295]","","Wisconsin, US","<1872","W 86, H 79. Stalk 15mm. Biennial. Flesh yellowish, crisp, firm, juicy, subacid, fair to good. Use January - April.","Cooking (Eating)"
"783","Nova Easygro","","Canada","1975","",""
"784","Nu-Jon[5]","","Washington, US","Introduced 1949","P unknown. A large red striped apple.",""
"785","Nutmeg Pippin[8]","","England, UK","1920","A conical apple W 54, H 50. Flesh juicy, nutty flavour. Pick late September. Use December - March.","Eating"
"786","Nyack[4]","","New York, US","<1850","Flesh white, juicy, acid, rich. Use December.","Eating"
"787","Oakland[28]","","Michigan, US","<1883","W 72, H 58. Stalk 22 mm. Biennial. Flesh white, tender, juicy, sweet, crisp, good. Use November - February.","Eating"
"788","Oberdieck´s Taubenapfel[34]","","Germany","<1860","A conical apple. W 57, H 60. Stalk 12 mm. Use December -February.","Eating"
"789","Ogden[5]","","Geneva, New York, US","Introduced 1928","P Zusoff x McIntosh. Flesh white, aromatic, sweet.","Baking"
"790","Ohio Nonpareil[4]","","Ohio, US","<1853","W 95, H 73. Stalk 10 mm. Flesh yellow, juicy, subacid. Tree vigorous, healthy. Use September - December.","Cooking, Eating, Drying"
"791","Ohio Pippin[4]","","Ohio, US","<1867","W 99, H 74. Stalk 13 mm. Tree healthy, vigorous. Flesh Yellowish, tender, juicy, acid to subacid. Use December - January.","Cooking"
"792","Oldenburg[144]","","Germany","1897","A yellow - green apple with red flush. Pick September. Use October - December.","Eating"
"793","Oldenburg 2 see Duchess of Oldenburg",NA,NA,NA,NA,NA
"794","Oliver[28]","","Arkansas","<1873","W 69, H 57. Stalk 10 mm. Flesh whitish, crisp, tender, juicy, subacid, swee, good to very good.
Use December - March.","Eating"
"795","Ontario[18][8][144][7][296][297]","","New York, US","1874","A large apple W 75 H 58. We 191. greenish-yellow with purple flush. P Wagener x Northern Spy. High in Vitamin C. Pick mid October. Use November - April.","Eating"
"796","Opal","","Czech Republic","1999","Firm, fine to medium grained, medium juicy, full flavoured, sweet, mild-subacid. Golden Delicious × Topaz.[298]","Eating"
"797","Opalescent[28][299]","","Ohio, US","<1899","W 98, H 92. Stalk 20 mm. Flesh juicy, subacid, aromatic, good to very good. Use November - February.","Eating"
"798","Orin","","Fukushima, Japan","1952","Sweet and distinctive fragrance. Notes of pineapple. Medium hardness. Golden Delicious × Indo.","Eating"
"799","Oriole[5]","","Minnesota, US","Introduced 1949","P unknown. Flesh tender, juicy, aromatic, subacid.","Cooking, Eating"
"800","Orleans[5]","","Geneva, New York, US","Introduced 1924","P Deacon Jones x Delicious.",""
"801","Orleans Reinette(syn. Golden Reinette)[21]","","Orleans, France","<1776","Medium flat, rich red and golden russet. Triploid. Reliable bearer. W 62, H 58. Stalk 6–20 mm. Extraordinary complex flavour, similar to Blenheim Orange, but not related. Pick mid October. Use Dec. - Feb.","Eating"
"802","Ortley(syn. White Bellflower, Cleopatra)[4][8][300]","","New Jersey, US","<1850","A large yellow apple with red flush. W 71, H 70. Flesh yellowish, crisp, tender, juicy, acid to subacid, very good. Tree vigorous, very productive. Pick late October. Use November - January.","Cooking, Eating"
"803","Osceola[4]","","Indiana, US","<1850","W 84, H 72. Stalk 13 mm. Flesh, yellow, juicy, subacid. Use January - March.","Eating"
"804","Oskaloosa(syn. Jack, Apple)[3]","","Iowa, US","<1850","Flesh juicy, subacid. Tree moderate grower, early but not an abundant bearer. Use November.",""
"805","Owen Thomas[53][21]","","Bedfordshire, England","1897 Introduced 1920","H 51, W 57-63. Stalk 7 – 15 mm. Green wit orange flush. P Cox Orange x Gladstone. Pick mid August. Use late August - early September.","Eating"
"806","Ozark Gold","","Missouri, US","1970","Light green with pink blush. Has taste with notes of honey.","Eating"
"807","Pacific Rose","","New Zealand","1995","Extremely crisp, sweet apple. Also grows well in California.","Eating"
